INFO:root:{'WORK_PATH': './work/cnn_silhouette', 'CUDA_VISIBLE_DEVICES': '0,1,2,3', 'dataset': 'CASIA-B', 'model': {'model_cfg': {'hidden_dim': 128, 'out_channels': 128}, 'lr': 0.0001, 'margin': 0.2, 'frame_num': 30, 'frame_num_min': 15, 'num_workers': 24, 'restore_iter': 0, 'hard_or_full_trip': 'full', 'batch_size': (8, 16), 'milestones': [70000], 'total_iter': 80000, 'model_name': 'gaitgl_casia-b'}, 'data': {'data_type': 'silhouettes', 'CASIA-B': {'resolution': '64', 'pid_num': 73, 'pid_shuffle': False, 'data_path': ['/home/pengyunjie/data/casia-b/silhouettes64/']}, 'OUMVLP': {'resolution': '64', 'pid_num': 5153, 'pid_shuffle': False, 'data_path': ['/data_1/pengyunjie/dataset/ou-mvlp/silhouettes/']}}}
INFO:root:Initialzing...
INFO:root:Initializing data source...
INFO:root:dataset:CASIA-B, data_type:silhouettes, data_path:['/home/pengyunjie/data/casia-b/silhouettes64/'], cache:False
INFO:root:pid_train:['001', '002', '003', '004', '006', '007', '008', '009', '010', '011', '012', '013', '014', '015', '016', '017', '018', '019', '020', '021', '022', '023', '024', '025', '026', '027', '028', '029', '030', '031', '032', '033', '034', '035', '036', '037', '038', '039', '040', '041', '042', '043', '044', '045', '046', '047', '048', '049', '050', '051', '052', '053', '054', '055', '056', '057', '058', '059', '060', '061', '062', '063', '064', '065', '066', '067', '068', '069', '070', '071', '072', '073', '074']
pid_test:['075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '093', '094', '095', '096', '097', '098', '099', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124']
INFO:root:len(pid_train):73, len(pid_test):50
INFO:root:Data initialization complete.
INFO:root:Initializing model...
INFO:root:Model initialization complete.
INFO:root:Training START
INFO:root:iter 6600:, hard_loss_metric=2.63236427, full_loss_metric=1.08526349, full_loss_num=14105.16113281, mean_dist=13.89147377, lr=0.000100, hard or full='full', softmax_loss=1.73171520
INFO:root:iter 6700:, hard_loss_metric=2.59136844, full_loss_metric=1.07510638, full_loss_num=13777.31347656, mean_dist=13.94433308, lr=0.000100, hard or full='full', softmax_loss=1.70045412
INFO:root:iter 6800:, hard_loss_metric=2.62444067, full_loss_metric=1.08522236, full_loss_num=13941.68164062, mean_dist=13.97686005, lr=0.000100, hard or full='full', softmax_loss=1.69783032
INFO:root:iter 6900:, hard_loss_metric=2.59988189, full_loss_metric=1.08789134, full_loss_num=13662.01855469, mean_dist=14.14117432, lr=0.000100, hard or full='full', softmax_loss=1.66791415
INFO:root:iter 7000:, hard_loss_metric=2.69339228, full_loss_metric=1.09817517, full_loss_num=14283.80761719, mean_dist=14.13934708, lr=0.000100, hard or full='full', softmax_loss=1.64575231
INFO:root:iter 7100:, hard_loss_metric=2.63289213, full_loss_metric=1.10041571, full_loss_num=13732.39355469, mean_dist=14.30956078, lr=0.000100, hard or full='full', softmax_loss=1.61990619
INFO:root:iter 7200:, hard_loss_metric=2.66398931, full_loss_metric=1.10142612, full_loss_num=14101.19921875, mean_dist=14.25457478, lr=0.000100, hard or full='full', softmax_loss=1.62328982
INFO:root:iter 7300:, hard_loss_metric=2.63755774, full_loss_metric=1.10523927, full_loss_num=13406.76757812, mean_dist=14.45925045, lr=0.000100, hard or full='full', softmax_loss=1.57092786
INFO:root:iter 7400:, hard_loss_metric=2.62709999, full_loss_metric=1.10540652, full_loss_num=13268.66406250, mean_dist=14.56071281, lr=0.000100, hard or full='full', softmax_loss=1.53664279
INFO:root:iter 7500:, hard_loss_metric=2.60051513, full_loss_metric=1.10252655, full_loss_num=12904.03222656, mean_dist=14.64154530, lr=0.000100, hard or full='full', softmax_loss=1.52508640
INFO:root:iter 7600:, hard_loss_metric=2.61963105, full_loss_metric=1.11280668, full_loss_num=12978.88281250, mean_dist=14.73098373, lr=0.000100, hard or full='full', softmax_loss=1.50847554
INFO:root:iter 7700:, hard_loss_metric=2.62069988, full_loss_metric=1.10561574, full_loss_num=13135.78222656, mean_dist=14.74236107, lr=0.000100, hard or full='full', softmax_loss=1.49556243
INFO:root:iter 7800:, hard_loss_metric=2.60607123, full_loss_metric=1.10820317, full_loss_num=12695.26367188, mean_dist=14.85495758, lr=0.000100, hard or full='full', softmax_loss=1.47105861
INFO:root:iter 7900:, hard_loss_metric=2.63555622, full_loss_metric=1.12161505, full_loss_num=12650.68847656, mean_dist=14.94511127, lr=0.000100, hard or full='full', softmax_loss=1.45502317
INFO:root:0:14:10.946172
INFO:root:iter 8000:, hard_loss_metric=2.64334226, full_loss_metric=1.11934090, full_loss_num=12983.67968750, mean_dist=14.99396992, lr=0.000100, hard or full='full', softmax_loss=1.44960368
INFO:root:iter 8100:, hard_loss_metric=2.61923528, full_loss_metric=1.11360037, full_loss_num=12661.42773438, mean_dist=14.98631096, lr=0.000100, hard or full='full', softmax_loss=1.42365372
INFO:root:iter 8200:, hard_loss_metric=2.63249993, full_loss_metric=1.11688507, full_loss_num=12714.05957031, mean_dist=14.99993038, lr=0.000100, hard or full='full', softmax_loss=1.42408633
INFO:root:iter 8300:, hard_loss_metric=2.66031170, full_loss_metric=1.12183154, full_loss_num=12938.39746094, mean_dist=15.02048016, lr=0.000100, hard or full='full', softmax_loss=1.42174757
INFO:root:iter 8400:, hard_loss_metric=2.64250398, full_loss_metric=1.11999583, full_loss_num=12845.75878906, mean_dist=15.09976196, lr=0.000100, hard or full='full', softmax_loss=1.40248823
INFO:root:iter 8500:, hard_loss_metric=2.61068511, full_loss_metric=1.11579335, full_loss_num=12362.74218750, mean_dist=15.16044044, lr=0.000100, hard or full='full', softmax_loss=1.38506484
INFO:root:iter 8600:, hard_loss_metric=2.63916874, full_loss_metric=1.12755430, full_loss_num=12565.45117188, mean_dist=15.23587894, lr=0.000100, hard or full='full', softmax_loss=1.38816237
INFO:root:iter 8700:, hard_loss_metric=2.58745861, full_loss_metric=1.11870611, full_loss_num=12231.81152344, mean_dist=15.31762123, lr=0.000100, hard or full='full', softmax_loss=1.35696959
INFO:root:iter 8800:, hard_loss_metric=2.64253163, full_loss_metric=1.13135481, full_loss_num=12183.26757812, mean_dist=15.39132214, lr=0.000100, hard or full='full', softmax_loss=1.34205425
INFO:root:iter 8900:, hard_loss_metric=2.61552191, full_loss_metric=1.12937808, full_loss_num=11893.26464844, mean_dist=15.49457645, lr=0.000100, hard or full='full', softmax_loss=1.32490325
INFO:root:iter 9000:, hard_loss_metric=2.62546229, full_loss_metric=1.12527239, full_loss_num=12468.67871094, mean_dist=15.35787487, lr=0.000100, hard or full='full', softmax_loss=1.32856369
INFO:root:iter 9100:, hard_loss_metric=2.56187415, full_loss_metric=1.11947620, full_loss_num=11513.34277344, mean_dist=15.51463985, lr=0.000100, hard or full='full', softmax_loss=1.31044829
INFO:root:iter 9200:, hard_loss_metric=2.56426573, full_loss_metric=1.11940563, full_loss_num=11463.50097656, mean_dist=15.55902481, lr=0.000100, hard or full='full', softmax_loss=1.27899325
INFO:root:iter 9300:, hard_loss_metric=2.62172771, full_loss_metric=1.13334262, full_loss_num=11833.36621094, mean_dist=15.56660557, lr=0.000100, hard or full='full', softmax_loss=1.29155028
INFO:root:iter 9400:, hard_loss_metric=2.62869406, full_loss_metric=1.13252211, full_loss_num=11888.12109375, mean_dist=15.62788200, lr=0.000100, hard or full='full', softmax_loss=1.28598893
INFO:root:iter 9500:, hard_loss_metric=2.60597515, full_loss_metric=1.13396335, full_loss_num=11872.28710938, mean_dist=15.74023438, lr=0.000100, hard or full='full', softmax_loss=1.27476633
INFO:root:iter 9600:, hard_loss_metric=2.64847112, full_loss_metric=1.13753116, full_loss_num=11816.85546875, mean_dist=15.68389034, lr=0.000100, hard or full='full', softmax_loss=1.26201594
INFO:root:iter 9700:, hard_loss_metric=2.57647157, full_loss_metric=1.12969899, full_loss_num=11379.31250000, mean_dist=15.78903580, lr=0.000100, hard or full='full', softmax_loss=1.23468363
INFO:root:iter 9800:, hard_loss_metric=2.60147190, full_loss_metric=1.13054121, full_loss_num=11758.25292969, mean_dist=15.69008923, lr=0.000100, hard or full='full', softmax_loss=1.25450611
INFO:root:iter 9900:, hard_loss_metric=2.58526611, full_loss_metric=1.12492406, full_loss_num=11659.09082031, mean_dist=15.75900364, lr=0.000100, hard or full='full', softmax_loss=1.23324776
INFO:root:0:14:27.536746
INFO:root:iter 10000:, hard_loss_metric=2.58687401, full_loss_metric=1.13207126, full_loss_num=11435.85644531, mean_dist=15.91077423, lr=0.000100, hard or full='full', softmax_loss=1.22551298
INFO:root:iter 10100:, hard_loss_metric=2.56238651, full_loss_metric=1.12986362, full_loss_num=11269.10742188, mean_dist=15.91913319, lr=0.000100, hard or full='full', softmax_loss=1.22297394
INFO:root:iter 10200:, hard_loss_metric=2.58593845, full_loss_metric=1.13392699, full_loss_num=11487.74023438, mean_dist=15.98902798, lr=0.000100, hard or full='full', softmax_loss=1.23084486
INFO:root:iter 10300:, hard_loss_metric=2.58989644, full_loss_metric=1.13254213, full_loss_num=11747.08789062, mean_dist=15.91092777, lr=0.000100, hard or full='full', softmax_loss=1.21814871
INFO:root:iter 10400:, hard_loss_metric=2.64960241, full_loss_metric=1.13702869, full_loss_num=11859.49218750, mean_dist=15.86301613, lr=0.000100, hard or full='full', softmax_loss=1.21374941
INFO:root:iter 10500:, hard_loss_metric=2.54021215, full_loss_metric=1.13157558, full_loss_num=10955.95898438, mean_dist=16.08332062, lr=0.000100, hard or full='full', softmax_loss=1.17926550
INFO:root:iter 10600:, hard_loss_metric=2.58871269, full_loss_metric=1.13571024, full_loss_num=11100.53125000, mean_dist=16.08342934, lr=0.000100, hard or full='full', softmax_loss=1.17821348
INFO:root:iter 10700:, hard_loss_metric=2.57176614, full_loss_metric=1.13368940, full_loss_num=11286.16503906, mean_dist=16.08673096, lr=0.000100, hard or full='full', softmax_loss=1.18436420
INFO:root:iter 10800:, hard_loss_metric=2.55239773, full_loss_metric=1.13123035, full_loss_num=10819.29785156, mean_dist=16.14374733, lr=0.000100, hard or full='full', softmax_loss=1.15904856
INFO:root:iter 10900:, hard_loss_metric=2.60801888, full_loss_metric=1.14232314, full_loss_num=11267.66601562, mean_dist=16.15770721, lr=0.000100, hard or full='full', softmax_loss=1.16296184
INFO:root:iter 11000:, hard_loss_metric=2.56646109, full_loss_metric=1.13599825, full_loss_num=11075.23339844, mean_dist=16.15826988, lr=0.000100, hard or full='full', softmax_loss=1.16683578
